tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
TQQQ,ProShares UltraPro QQQ,"ARIMA(0,1,0)",780.51,780.53,784.06,1.23,32.78,-6.86,0,6.86,32.78,39.64,25.92
TRDA,"Entrada Therapeutics, Inc.","ARIMA(2,1,0)",728.3,728.4,738.94,0.99,16.01,-5.59,-0.21,5.17,15.8,21.18,10.42
TREE,"Lendingtree, Inc.","ARIMA(0,1,0)",849.85,849.86,853.39,1.61,13.23,-7.86,0,7.86,13.23,21.09,5.37
TRHC,"Tabula Rasa Healthcare, Inc.","ARIMA(0,1,1) with drift",10.64,10.73,21.27,0.06,10.43,-1.1,0.27,1.65,10.7,12.08,9.33
TRIN,Trinity Capital Inc.,"ARIMA(3,1,0)",113.81,113.96,127.99,0.09,13.73,-1.79,-0.01,1.76,13.72,15.49,11.94
TRINL,Trinity Capital Inc.,"ARIMA(2,1,3)",-445.78,-445.44,-424.5,0.01,25.25,-0.37,-0.01,0.35,25.24,25.6,24.88
TRINL,Trinity Capital Inc. - 7.00% Notes Due 2025,"ARIMA(2,1,3)",-445.78,-445.44,-424.5,0.01,25.25,-0.37,-0.01,0.35,25.24,25.6,24.88
TRIP,"Tripadvisor, Inc.","ARIMA(2,1,2)",393.66,393.9,411.39,0.27,14.76,-3.22,-0.09,3.04,14.67,17.8,11.54
TRKA,"Troika Media Group, Inc.","ARIMA(0,1,5)",582.13,582.47,603.4,0.55,1.04,-4.73,-0.02,4.69,1.02,5.73,-3.69
TRMB,Trimble Inc.,"ARIMA(4,1,1)",809.97,810.31,831.24,1.35,47.13,-6.88,-0.06,6.75,47.07,53.88,40.25
TRMD,Torm Plc,"ARIMA(2,1,2)",665.82,666.06,683.55,0.77,30.35,-5.35,0.08,5.5,30.43,35.85,25
TRMK,Trustmark Corp,"ARIMA(0,1,0) with drift",449.17,449.22,456.26,0.33,20.11,-4.14,-0.55,3.03,19.56,23.14,15.97
TRML,"Tourmaline Bio, Inc.","ARIMA(0,1,2)",891.45,891.54,902.08,1.87,16.49,-8.55,-0.16,8.23,16.33,24.72,7.94
TRMR,Tremor International Ltd.,"ARIMA(3,1,2)",78.11,78.44,99.38,0.08,3.35,-1.81,0.01,1.83,3.36,5.18,1.54
TRNS,Transcat Inc,"ARIMA(0,1,0)",1116.39,1116.41,1119.94,4.55,90.02,-13.22,0,13.22,90.02,103.24,76.8
TRON,Corner Growth Acquisition Corp. 2,"ARIMA(0,1,4) with drift",-250.49,-250.15,-229.22,0.02,11.3,-0.39,0.07,0.54,11.37,11.84,10.91
TROO,"Troops, Inc. /Cayman Islands/","ARIMA(3,1,2)",-170.63,-170.3,-149.36,0.03,3.89,-0.83,0.05,0.94,3.94,4.83,3.06
TROW,Price T Rowe Group Inc,"ARIMA(2,1,2)",1199.78,1200.02,1217.5,6.2,90.5,-16.13,-0.26,15.61,90.24,106.11,74.37
TRS,Trimas Corp,"ARIMA(4,1,1)",442.47,442.81,463.74,0.32,24.21,-3.2,-0.11,2.99,24.1,27.2,21.01
TRST,Trustco Bank Corp N Y,"ARIMA(0,1,1)",456.01,456.06,463.1,0.34,25.53,-3.15,-0.03,3.1,25.5,28.63,22.38
TRT,Trio-Tech International,"ARIMA(0,1,3)",-73.86,-73.7,-59.68,0.04,6.81,-0.91,0.02,0.95,6.83,7.76,5.9
TRUP,"Trupanion, Inc.","ARIMA(2,1,2)",1136.72,1136.96,1154.45,4.84,20.6,-11.03,-0.22,10.59,20.38,31.19,9.57
TRVG,Trivago N.V.,"ARIMA(0,1,1)",-818.09,-818.04,-811,0,1.11,-0.26,0,0.27,1.11,1.38,0.85
TRVI,"Trevi Therapeutics, Inc.","ARIMA(2,0,0) with non-zero mean",-379.63,-379.47,-365.43,0.01,1.78,-0.39,0.21,0.81,1.99,2.59,1.39
TRX,Trx Gold Corp,"ARIMA(0,1,5)",-1427.82,-1427.49,-1406.55,0,0.39,-0.08,0,0.08,0.39,0.48,0.31
TSAT,Telesat Corp,"ARIMA(2,1,3)",464.96,465.3,486.23,0.35,10.2,-3.81,0.15,4.11,10.35,14.31,6.39
TSBK,Timberland Bancorp Inc,"ARIMA(0,1,4)",248.72,248.96,266.44,0.15,28.19,-3.22,0.29,3.81,28.48,32,24.97
TSCO,Tractor Supply Co /De/,"ARIMA(1,1,0)",1348.25,1348.3,1355.34,11.21,192.56,-19.48,-0.1,19.28,192.46,211.84,173.08
TSEM,Tower Semiconductor Ltd,"ARIMA(0,1,0) with drift",476.36,476.41,483.45,0.37,23.02,-4.54,-0.76,3.02,22.26,26.04,18.48
TSHA,"Taysha Gene Therapies, Inc.","ARIMA(2,1,0)",-153.66,-153.56,-143.02,0.03,2.34,-0.89,-0.03,0.83,2.31,3.17,1.45
TSL,GraniteShares 1.25x Long TSLA Daily ETF,"ARIMA(0,1,0)",518.75,518.77,522.3,0.44,13.55,-4.11,0,4.11,13.55,17.66,9.44
TSLA,"Tesla, Inc.","ARIMA(0,1,0)",1748.77,1748.78,1752.31,53.81,200.84,-45.46,0,45.46,200.84,246.3,155.38
TSLQ,AXS TSLA Bear Daily ETF,"ARIMA(2,1,3)",1085.38,1085.72,1106.65,3.94,39.85,-12.79,1.57,15.94,41.42,55.79,27.06
TSP,Tusimple Holdings Inc.,"ARIMA(5,1,0)",-39.31,-38.97,-18.04,0.05,1.07,-1.43,0,1.42,1.07,2.49,-0.36
TSRI,Tsr Inc,"ARIMA(0,1,0)",10.18,10.2,13.73,0.06,8.6,-1.52,0,1.52,8.6,10.12,7.08
TSVT,"2Seventy Bio, Inc.","ARIMA(2,1,1) with drift",321.44,321.68,339.16,0.2,2.44,-3.87,-0.56,2.76,1.88,5.2,-1.43
TTD,"Trade Desk, Inc.","ARIMA(0,1,0)",1125.75,1125.76,1129.29,4.72,70.96,-13.47,0,13.47,70.96,84.43,57.49
TTEC,"Ttec Holdings, Inc.","ARIMA(0,1,0)",740.98,741,744.52,1.05,20.58,-6.35,0,6.35,20.58,26.93,14.23
TTEK,Tetra Tech Inc,"ARIMA(0,1,0)",1254.85,1254.86,1258.39,7.82,150.91,-17.33,0,17.33,150.91,168.24,133.58
TTGT,Techtarget Inc,"ARIMA(2,1,2) with drift",804.66,805,825.93,1.32,25.18,-9.04,-1.38,6.29,23.8,31.47,16.14
TTMI,Ttm Technologies Inc,"ARIMA(1,1,0)",201.76,201.81,208.85,0.13,11.49,-2,0.01,2.02,11.5,13.51,9.49
TTSH,"Tile Shop Holdings, Inc.","ARIMA(0,1,0)",-302.05,-302.03,-298.5,0.02,5.49,-0.83,0,0.83,5.49,6.32,4.66
TTWO,Take Two Interactive Software Inc,"ARIMA(0,1,0)",1189.65,1189.66,1193.19,6.06,133.75,-15.25,0,15.25,133.75,149,118.5
TUG,STF Tactical Growth ETF,"ARIMA(3,1,1)",4.23,4.47,21.96,0.06,25.85,-1.42,-0.01,1.41,25.84,27.25,24.42
TUGN,STF Tactical Growth & Income ETF,"ARIMA(3,1,2)",-120.57,-120.23,-99.3,0.04,20.39,-1.13,0,1.13,20.39,21.52,19.26
TUR,iShares MSCI Turkey ETF,"ARIMA(0,1,0)",648.12,648.14,651.67,0.73,34.15,-5.3,0,5.3,34.15,39.45,28.85
TURN,180 Degree Capital Corp. /Ny/,"ARIMA(0,1,1) with drift",-612.9,-612.81,-602.27,0.01,3.8,-0.38,-0.07,0.25,3.73,4.05,3.42
TUSK,"Mammoth Energy Services, Inc.","ARIMA(1,1,1)",89.94,90.04,100.58,0.08,4.05,-1.34,0.06,1.46,4.11,5.51,2.71
TW,Tradeweb Markets Inc.,"ARIMA(0,1,0) with drift",842.87,842.92,849.96,1.56,90.01,-6.29,1.44,9.18,91.45,99.19,83.72
TWEB,SoFi Web 3 ETF,"ARIMA(1,1,0)",231.8,231.85,238.89,0.14,16.7,-2.38,0,2.38,16.7,19.08,14.32
TWIN,Twin Disc Inc,"ARIMA(2,1,0)",170.39,170.48,181.02,0.11,13.74,-2.27,0,2.27,13.74,16.01,11.47
TWKS,"Thoughtworks Holding, Inc.","ARIMA(0,1,0)",107.48,107.5,111.02,0.09,3.39,-1.84,0,1.84,3.39,5.23,1.55
TWLV,Twelve Seas Investment Co. Ii,"ARIMA(2,1,2) with drift",-1330.8,-1330.46,-1309.53,0,10.49,-0.05,0.02,0.09,10.51,10.58,10.44
TWLVU,Twelve Seas Investment Co. Ii,"ARIMA(1,1,1) with drift",-1115.38,-1115.22,-1101.2,0,10.48,-0.03,0.06,0.16,10.54,10.64,10.45
TWLVU,Twelve Seas Investment Company II - Unit,"ARIMA(1,1,1) with drift",-1115.38,-1115.22,-1101.2,0,10.48,-0.03,0.06,0.16,10.54,10.64,10.45
TWNK,"Hostess Brands, Inc.","ARIMA(0,1,0)",445.5,445.52,449.05,0.33,33.4,-3.57,0,3.57,33.4,36.97,29.83
TWOU,"2U, Inc.","ARIMA(1,1,1)",315.07,315.17,325.71,0.2,2.12,-2.28,-0.02,2.24,2.1,4.36,-0.16
TWST,Twist Bioscience Corp,"ARIMA(2,1,1)",814.34,814.5,828.52,1.38,15.76,-6.22,-0.05,6.12,15.71,21.88,9.54
TXG,"10X Genomics, Inc.","ARIMA(1,2,2)",980.21,980.37,994.37,2.63,35.28,-11.77,-3.87,4.03,31.41,39.31,23.51
TXMD,"Therapeuticsmd, Inc.","ARIMA(1,1,0)",-90.35,-90.31,-83.26,0.04,2.13,-1.38,0.01,1.4,2.14,3.53,0.75
TXN,Texas Instruments Inc,"ARIMA(1,1,2)",1240.98,1241.14,1255.16,7.3,142.01,-15.49,-0.35,14.79,141.66,156.8,126.52
TXRH,"Texas Roadhouse, Inc.","ARIMA(2,1,2)",909.86,910.1,927.58,2,101.54,-8.21,-1.63,4.96,99.91,106.5,93.33
TYGO,"Tigo Energy, Inc.","ARIMA(0,1,4)",753.56,753.8,771.28,1.08,2.63,-5.95,0.01,5.97,2.64,8.6,-3.32
TYRA,"Tyra Biosciences, Inc.","ARIMA(0,1,3)",512.42,512.58,526.6,0.42,11.6,-3.26,-0.01,3.24,11.59,14.84,8.34
TZOO,Travelzoo,"ARIMA(0,1,0)",66.79,66.81,70.34,0.08,7.03,-1.7,0,1.7,7.03,8.73,5.33
UAE,iShares MSCI UAE ETF,"ARIMA(0,1,0)",-220.05,-220.03,-216.5,0.02,13.8,-0.97,0,0.97,13.8,14.77,12.83
UAL,"United Airlines Holdings, Inc.","ARIMA(0,1,1)",756.89,756.94,763.98,1.11,35.01,-7.34,0.01,7.36,35.02,42.37,27.67
UAMY,United States Antimony Corp,"ARIMA(3,1,0)",-1463.94,-1463.78,-1449.76,0,0.34,-0.07,0,0.07,0.34,0.41,0.27
UAVS,Ageagle Aerial Systems Inc.,"ARIMA(3,1,0) with drift",-1352.43,-1352.19,-1334.7,0,0.1,-0.13,-0.01,0.1,0.09,0.2,-0.03
UBCP,United Bancorp Inc /Oh/,"ARIMA(3,1,1) with drift",66.78,67.12,88.05,0.07,9.99,-1.34,-0.17,1.01,9.82,11,8.65
UBFO,United Security Bancshares,"ARIMA(0,1,2)",-336.08,-335.98,-325.44,0.02,7.77,-0.75,0.04,0.83,7.81,8.6,7.02
UBND,VictoryShares Core Plus Intermediate Bond ETF,"ARIMA(3,2,1)",-517.74,-517.5,-500.04,0.01,20.29,-0.68,-0.13,0.42,20.16,20.71,19.62
UBSI,United Bankshares Inc/Wv,"ARIMA(4,1,0)",543.3,543.54,561.02,0.48,28.44,-4.3,-0.05,4.21,28.39,32.65,24.14
UBX,"Unity Biotechnology, Inc.","ARIMA(0,1,0)",-25.4,-25.38,-21.86,0.05,1.99,-1.42,0,1.42,1.99,3.41,0.57
UCBI,United Community Banks Inc,"ARIMA(0,1,0)",507.38,507.39,510.92,0.42,22.09,-4.02,0,4.02,22.09,26.11,18.07
UCBIO,United Community Banks Inc,"ARIMA(0,1,0)",336.15,336.16,339.69,0.22,22.05,-2.88,0,2.88,22.05,24.93,19.17
UCL,Ucloudlink Group Inc.,"ARIMA(0,2,1)",-64.44,-64.39,-57.36,0.04,1.17,-1.68,-0.26,1.16,0.91,2.33,-0.51
UCRD,VictoryShares Corporate Bond ETF,"ARIMA(1,2,3)",-398.62,-398.37,-380.91,0.01,19.33,-0.85,-0.15,0.55,19.17,19.88,18.47
UCTT,"Ultra Clean Holdings, Inc.","ARIMA(0,1,0)",683.59,683.6,687.13,0.84,23.86,-5.68,0,5.68,23.86,29.54,18.18
UCYB,ProShares Ultra Nasdaq Cybersecurity,"ARIMA(2,1,1)",554.21,554.37,568.39,0.5,27.41,-2.99,0.72,4.44,28.13,31.85,24.42
UDMY,"Udemy, Inc.","ARIMA(0,1,0)",168.78,168.8,172.33,0.11,8.93,-2.08,0,2.08,8.93,11.01,6.85
UEC,Uranium Energy Corp,"ARIMA(4,2,1)",-326.99,-326.65,-305.74,0.02,5.95,-0.44,0.26,0.97,6.21,6.92,5.51
UEIC,Universal Electronics Inc,"ARIMA(1,1,1)",511.62,511.72,522.26,0.43,7.85,-5.05,0.01,5.06,7.86,12.91,2.8
UEVM,VictoryShares Emerging Markets Value Momentum ETF,"ARIMA(0,1,0)",172.83,172.84,176.37,0.11,40.22,-2.09,0,2.09,40.22,42.31,38.12
UFCS,United Fire Group Inc,"ARIMA(4,1,0)",544.81,545.05,562.54,0.48,20.14,-4.18,0,4.18,20.14,24.32,15.96
UFO,Procure Space ETF,"ARIMA(1,1,1) with drift",80.98,81.14,95.16,0.08,15.55,-1.69,-0.18,1.33,15.37,16.88,13.86
UFPI,Ufp Industries Inc,"ARIMA(0,1,0)",1005.57,1005.59,1009.12,2.95,95.17,-10.65,0,10.65,95.17,105.82,84.52
UFPT,Ufp Technologies Inc,"ARIMA(0,1,0)",1344.32,1344.34,1347.87,11.08,155.92,-20.64,0,20.64,155.92,176.56,135.28
UG,United Guardian Inc,"ARIMA(5,1,0) with drift",67.53,67.98,92.35,0.07,6.08,-1.61,-0.31,1,5.77,7.08,4.47
UGRO,"Urban-Gro, Inc.","ARIMA(0,1,0)",-237.46,-237.45,-233.92,0.02,1.35,-0.94,0,0.94,1.35,2.29,0.41
UHG,"United Homes Group, Inc.","ARIMA(1,1,2)",711.36,711.51,725.54,0.92,6.7,-3.42,-0.17,3.08,6.53,9.78,3.28
UITB,VictoryShares Core Intermediate Bond ETF,"ARIMA(2,2,2)",-81.01,-80.77,-63.31,0.04,43.58,-1.44,-0.24,0.96,43.34,44.54,42.14
UIVM,VictoryShares International Value Momentum ETF,"ARIMA(3,2,2)",215.5,215.83,236.74,0.13,41.01,-2.58,-0.38,1.81,40.63,42.82,38.43
ULBI,Ultralife Corp,"ARIMA(0,1,0)",160.81,160.82,164.35,0.11,7.42,-2.05,0,2.05,7.42,9.47,5.37
ULCC,"Frontier Group Holdings, Inc.","ARIMA(3,1,1) with drift",152.94,153.28,174.21,0.1,3.39,-2.74,-0.32,2.1,3.07,5.49,0.65
ULH,"Universal Logistics Holdings, Inc.","ARIMA(1,1,4)",717.13,717.47,738.4,0.94,22.38,-5.32,0.05,5.41,22.43,27.79,17.06
ULTA,"Ulta Beauty, Inc.","ARIMA(1,2,2)",1777.08,1777.24,1791.25,60.27,381.31,-59.02,-8.43,42.16,372.88,423.47,322.29
ULVM,VictoryShares US Value Momentum ETF,"ARIMA(1,1,1)",380.03,380.12,390.66,0.25,59.86,-2.92,-0.05,2.83,59.81,62.69,56.93
UMBF,Umb Financial Corp,"ARIMA(2,1,3)",1044.26,1044.6,1065.53,3.36,62.72,-11.6,0.09,11.78,62.81,74.5,51.12
UMMA,Wahed Dow Jones Islamic World ETF,"ARIMA(1,2,2)",-10.32,-10.16,3.84,0.05,19.44,-1.81,-0.25,1.3,19.19,20.74,17.63
UNB,Union Bankshares Inc,"ARIMA(5,1,0)",402.21,402.55,423.48,0.27,26.58,-2.98,-0.28,2.41,26.3,28.99,23.6
UNIT,Uniti Group Inc.,"ARIMA(1,1,0)",-86.46,-86.41,-79.37,0.04,4.6,-1.27,0,1.28,4.6,5.88,3.33
UNTY,Unity Bancorp Inc /Nj/,"ARIMA(1,1,0)",258.57,258.61,265.66,0.16,24.06,-2.24,-0.01,2.22,24.05,26.28,21.82
UPBD,"Upbound Group, Inc.","ARIMA(2,1,1)",533.57,533.73,547.75,0.46,26.06,-4.26,0.01,4.27,26.07,30.33,21.8
UPLD,"Upland Software, Inc.","ARIMA(0,1,1)",81.89,81.94,88.98,0.08,3.34,-1.91,0,1.91,3.34,5.25,1.43
UPST,"Upstart Holdings, Inc.","ARIMA(0,1,5)",1114.8,1115.14,1136.07,4.43,24.03,-18.16,0.57,19.3,24.6,43.33,5.87
UPWK,"Upwork, Inc","ARIMA(0,1,0)",379.96,379.98,383.51,0.26,10.45,-3.14,0,3.14,10.45,13.59,7.31
UPXI,"Upexi, Inc.","ARIMA(1,1,0) with drift",-196.77,-196.68,-186.14,0.03,1.14,-1.07,-0.13,0.81,1.01,1.95,0.07
URBN,Urban Outfitters Inc,"ARIMA(1,1,0)",556.26,556.31,563.35,0.51,34.62,-4.07,-0.09,3.88,34.53,38.5,30.55
URGN,Urogen Pharma Ltd.,"ARIMA(0,1,4)",616.99,617.23,634.72,0.64,11.21,-5.12,0.06,5.23,11.27,16.44,6.09
UROY,Uranium Royalty Corp.,"ARIMA(0,1,4)",-530.65,-530.41,-512.93,0.01,2.86,-0.46,-0.04,0.39,2.82,3.25,2.4
USAP,Universal Stainless & Alloy Products Inc,"ARIMA(0,1,5) with drift",183.49,183.94,208.3,0.12,14.44,-1.85,0.09,2.03,14.53,16.47,12.59
USAU,U.S. Gold Corp.,"ARIMA(2,1,3)",-128.85,-128.51,-107.58,0.03,3.33,-1.25,0.02,1.28,3.35,4.61,2.08
USCB,"Uscb Financial Holdings, Inc.","ARIMA(0,1,4)",-18.18,-17.94,-0.45,0.05,10.74,-1.28,-0.06,1.15,10.68,11.89,9.46
USEA,United Maritime Corp,"ARIMA(2,1,2)",-420.57,-420.33,-402.85,0.01,2.11,-0.67,-0.01,0.65,2.1,2.76,1.44
USEG,Us Energy Corp,"ARIMA(0,1,1) with drift",-755.01,-754.91,-744.37,0,1.45,-0.34,-0.06,0.22,1.39,1.67,1.11
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,"ARIMA(1,2,3)",36.46,36.71,54.17,0.07,47.04,-1.9,-0.31,1.27,46.73,48.31,45.14
USIO,"Usio, Inc.","ARIMA(1,1,0)",-535.11,-535.07,-528.02,0.01,1.93,-0.47,0,0.47,1.93,2.4,1.46
USLM,United States Lime & Minerals Inc,"ARIMA(0,1,4) with drift",1345.14,1345.48,1366.41,10.9,197.99,-14.61,2.91,20.42,200.9,218.41,183.38
USMC,Principal U.S. Mega-Cap ETF,"ARIMA(4,1,1)",244.83,245.17,266.1,0.15,41.64,-2.11,-0.13,1.86,41.51,43.5,39.53
USOI,Credit Suisse Ag,"ARIMA(2,1,2)",841.15,841.39,858.88,1.53,79.44,-8.78,-0.01,8.76,79.43,88.2,70.66
USTB,VictoryShares Short-Term Bond ETF,"ARIMA(0,1,4)",-549.76,-549.52,-532.04,0.01,48.56,-0.41,0.01,0.43,48.57,48.99,48.15
USVM,VictoryShares US Small Mid Cap Value Momentum ETF,"ARIMA(1,1,0)",547.72,547.77,554.81,0.49,61.61,-4.23,-0.02,4.19,61.6,65.81,57.39
USXF,iShares ESG Advanced MSCI USA ETF,"ARIMA(2,1,0)",193.24,193.34,203.88,0.12,33.85,-2.08,-0.07,1.94,33.78,35.79,31.77
UTEN,US Treasury 10 Year Note ETF,"ARIMA(1,1,1)",92.55,92.65,103.19,0.08,41.79,-1.58,0.02,1.61,41.81,43.4,40.21
UTHR,United Therapeutics Corp,"ARIMA(1,1,3)",1441.73,1441.97,1459.46,15.97,222.86,-25.78,-0.85,24.09,222.01,246.95,197.08
UTMD,Utah Medical Products Inc,"ARIMA(0,1,5)",1079.6,1079.94,1100.87,3.86,79.52,-6.81,0.73,8.27,80.25,87.79,72.71
UTRS,Minerva Surgical Inc,"ARIMA(2,1,3)",379.84,380.18,401.11,0.25,3.23,-2.3,0.1,2.5,3.33,5.73,0.93
UTSI,Utstarcom Holdings Corp.,"ARIMA(2,1,3)",-105.9,-105.56,-84.63,0.04,3.7,-0.75,-0.09,0.57,3.61,4.27,2.95
UTWO,US Treasury 2 Year Note ETF,"ARIMA(0,1,0)",-480.03,-480.02,-476.49,0.01,47.9,-0.59,0,0.59,47.9,48.49,47.32
UVSP,Univest Financial Corp,"ARIMA(3,1,1) with drift",321.53,321.87,342.8,0.2,16.66,-3.29,-0.41,2.47,16.25,19.13,13.37
UXIN,Uxin Ltd,"ARIMA(3,1,1)",-225.93,-225.69,-208.21,0.02,1.22,-0.88,0.03,0.95,1.25,2.17,0.34
VABK,Virginia National Bankshares Corp,"ARIMA(0,1,5)",385.26,385.6,406.53,0.26,30.73,-3.67,1.12,5.9,31.85,36.63,27.06
VACC,Vaccitech Plc,"ARIMA(1,0,0) with non-zero mean",-194.71,-194.62,-184.06,0.03,4.2,-1.41,-0.57,0.26,3.63,4.46,2.79
VALN,Valneva Se,"ARIMA(0,1,1)",373.18,373.23,380.27,0.25,11.4,-2.69,-0.09,2.52,11.31,13.92,8.71
VALU,Value Line Inc,"ARIMA(5,1,0)",1100.88,1101.21,1122.15,4.2,40.95,-10.66,-1.19,8.28,39.76,49.23,30.29
VANI,"Vivani Medical, Inc.","ARIMA(0,1,0)",-670.63,-670.62,-667.09,0,1.04,-0.4,0,0.4,1.04,1.44,0.64
VAQC,Vector Acquisition Corp Ii,"ARIMA(1,1,0)",-489.47,-489.42,-482.38,0.01,10.49,-0.46,0,0.46,10.49,10.95,10.03
VBFC,Village Bank & Trust Financial Corp.,"ARIMA(0,1,2)",803.64,803.73,814.27,1.33,38.83,-5.6,0.19,5.99,39.02,44.82,33.23
VBIV,Vbi Vaccines Inc/Bc,"ARIMA(2,1,1) with drift",475.07,475.31,492.79,0.37,0.59,-4.52,-0.78,2.95,-0.19,3.54,-3.93
VBNK,Versabank,"ARIMA(0,1,0)",-333.92,-333.91,-330.38,0.02,7.65,-0.78,0,0.78,7.65,8.43,6.87
VC,Visteon Corp,"ARIMA(0,1,1)",1290.57,1290.62,1297.66,8.95,115.13,-15.51,0.54,16.58,115.67,131.71,99.62
VCEL,Vericel Corp,"ARIMA(1,1,1)",733.53,733.62,744.16,1.01,35.18,-4.84,-0.48,3.87,34.7,39.05,30.34
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"ARIMA(1,2,3)",271.96,272.2,289.66,0.16,74.45,-2.91,-0.46,2,73.99,76.45,71.54
VCLT,Vanguard Long-Term Corporate Bond ETF,"ARIMA(1,2,3)",569.5,569.75,587.21,0.53,68.35,-5.69,-1.08,3.54,67.27,71.89,62.66
VCSA,"Vacasa, Inc.","ARIMA(5,1,0) with drift",1178.67,1179.12,1203.49,5.67,7.65,-18.45,-1.94,14.58,5.71,22.23,-10.8
VCSH,Vanguard Short-Term Corporate Bond ETF,"ARIMA(0,1,0)",-178.4,-178.39,-174.86,0.03,74.86,-1.05,0,1.05,74.86,75.91,73.81
VCTR,"Victory Capital Holdings, Inc.","ARIMA(0,1,0)",436.77,436.78,440.31,0.32,29.46,-3.51,0,3.51,29.46,32.97,25.95
VCXA,10X Capital Venture Acquisition Corp. Ii,"ARIMA(1,1,4) with drift",-814.44,-813.98,-789.62,0,10.57,-0.14,0.03,0.2,10.6,10.77,10.43
VCXAU,10X Capital Venture Acquisition Corp. II - Unit,"ARIMA(0,1,3)",-676.07,-675.91,-661.89,0,10.57,-0.23,-0.01,0.2,10.56,10.77,10.34
VCXAU,10X Capital Venture Acquisition Corp. Ii,"ARIMA(0,1,3)",-676.07,-675.91,-661.89,0,10.57,-0.23,-0.01,0.2,10.56,10.77,10.34
VCYT,"Veracyte, Inc.","ARIMA(1,0,0) with non-zero mean",692.89,692.98,703.53,0.85,20.72,-3.39,1.23,5.84,21.95,26.56,17.33
VECO,Veeco Instruments Inc,"ARIMA(0,1,0)",361.57,361.58,365.11,0.24,23.94,-3.03,0,3.03,23.94,26.97,20.91
VEEE,"Twin Vee Powercats, Co.","ARIMA(0,1,1)",-615.97,-615.92,-608.88,0.01,1.36,-0.39,0,0.39,1.36,1.75,0.97
VEON,Veon Ltd.,"ARIMA(0,1,0)",477.98,477.99,481.52,0.38,15.72,-3.8,0,3.8,15.72,19.52,11.92
VERA,"Vera Therapeutics, Inc.","ARIMA(0,1,1)",694.31,694.36,701.4,0.87,10.42,-6.55,-0.07,6.41,10.35,16.83,3.87
VERI,"Veritone, Inc.","ARIMA(2,1,0)",186.81,186.9,197.44,0.12,2.51,-2.21,-0.02,2.18,2.49,4.69,0.3
VERU,Veru Inc.,"ARIMA(1,1,4) with drift",417.91,418.36,442.73,0.29,0.9,-3.3,-0.43,2.45,0.48,3.35,-2.4
VERV,"Verve Therapeutics, Inc.","ARIMA(4,1,1)",765.53,765.87,786.8,1.13,12.04,-6.64,0.04,6.72,12.08,18.76,5.4
VERY,"Vericity, Inc.","ARIMA(1,0,1) with non-zero mean",291.06,291.22,305.25,0.18,10.97,-2.96,-0.91,1.14,10.06,12.11,8.01
VEV,Vicinity Motor Corp,"ARIMA(0,1,5)",-969.4,-969.06,-948.13,0,0.8,-0.22,0,0.22,0.8,1.02,0.58
VGAS,"Verde Clean Fuels, Inc.","ARIMA(0,1,4)",427.58,427.82,445.31,0.3,4.2,-3.53,-0.03,3.47,4.17,7.67,0.67
VGIT,Vanguard Intermediate-Term Treasury ETF,"ARIMA(0,1,0)",30.77,30.79,34.32,0.07,56.52,-1.59,0,1.59,56.52,58.11,54.93
VGLT,Vanguard Long-Term Treasury ETF,"ARIMA(2,2,3)",534.53,534.87,555.78,0.46,52.61,-5.09,-1.03,3.03,51.58,55.64,47.52
VGSH,Vanguard Short-Term Treasury ETF,"ARIMA(0,1,0)",-432.63,-432.61,-429.09,0.01,57.62,-0.64,0,0.64,57.62,58.26,56.98
VIA,"Via Renewables, Inc.","ARIMA(1,1,0) with drift",698.13,698.22,708.76,0.88,5.66,-7.71,-0.96,5.8,4.7,11.46,-2.05
VIASP,"Via Renewables, Inc.","ARIMA(1,1,2)",403.15,403.31,417.33,0.28,18.16,-4.1,0.09,4.28,18.25,22.44,14.06
VIAV,Viavi Solutions Inc.,"ARIMA(0,1,4)",76.22,76.46,93.94,0.08,7.78,-1.94,0.04,2.02,7.82,9.8,5.84
VICR,Vicor Corp,"ARIMA(0,1,0)",1306.81,1306.82,1310.35,9.57,38.74,-19.18,0,19.18,38.74,57.92,19.56
VIEW,"View, Inc.","ARIMA(5,1,0) with drift",1265.35,1265.8,1290.17,7.95,3.16,-16.83,-2.64,11.56,0.52,14.72,-13.67
VIGI,Vanguard International Dividend Appreciation ETF,"ARIMA(3,2,1)",493.88,494.12,511.59,0.39,69.81,-4.65,-0.59,3.46,69.22,73.27,65.16
VIGL,"Vigil Neuroscience, Inc.","ARIMA(0,1,4) with drift",479.17,479.51,500.44,0.37,7,-2.42,0,2.43,7,9.43,4.58
VII,7Gc & Co. Holdings Inc.,"ARIMA(0,1,3) with drift",-933.22,-932.98,-915.49,0,10.58,-0.06,0.05,0.16,10.63,10.74,10.52
VIIAU,7GC & Co. Holdings Inc. - Unit,"ARIMA(0,1,0)",-900.06,-900.04,-896.51,0,10.62,-0.26,0,0.26,10.62,10.88,10.36
VIIAU,7Gc & Co. Holdings Inc.,"ARIMA(0,1,0)",-900.06,-900.04,-896.51,0,10.62,-0.26,0,0.26,10.62,10.88,10.36
VINP,Vinci Partners Investments Ltd.,"ARIMA(0,1,1)",21.02,21.06,28.11,0.06,9.81,-1.26,-0.04,1.19,9.77,11,8.55
